City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
90,mar del plata,AR,-38.0,-57.56,60.01,93,0,4.7,clear sky,2020-11-02 02:48:15
91,pilar,BR,-9.6,-35.96,75.2,88,0,6.93,clear sky,2020-11-02 02:51:08
92,kupang,ID,-10.17,123.58,88.72,52,41,2.68,scattered clouds,2020-11-02 02:51:08
93,shimoda,JP,34.67,138.95,69.8,73,75,12.75,broken clouds,2020-11-02 02:51:08
94,alofi,NU,-19.06,-169.92,78.8,83,55,14.99,broken clouds,2020-11-02 02:51:08
95,san quintin,MX,30.48,-115.95,66.31,68,0,5.26,clear sky,2020-11-02 02:51:08
96,hellin,ES,38.51,-1.7,56.46,57,0,1.79,clear sky,2020-11-02 02:51:08
97,barrow,US,71.29,-156.79,26.6,68,40,19.46,scattered clouds,2020-11-02 02:51:08
98,alice springs,AU,-23.7,133.88,91.4,11,0,10.29,clear sky,2020-11-02 02:49:15
99,khatanga,RU,71.97,102.5,6.57,95,100,6.73,overcast clouds,2020-11-02 02:51:08
100,arlit,NE,18.74,7.39,69.3,28,0,5.32,clear sky,2020-11-02 02:51:09
101,tasiilaq,GL,65.61,-37.64,24.8,73,0,4.7,clear sky,2020-11-02 02:51:09
102,bat yam,IL,32.02,34.75,71.6,73,40,5.82,scattered clouds,2020-11-02 02:51:09
103,bambous virieux,MU,-20.34,57.76,71.01,93,40,4.7,scattered clouds,2020-11-02 02:51:09
104,maceio,BR,-9.67,-35.74,75.2,88,0,6.93,clear sky,2020-11-02 02:51:09
105,khasan,RU,42.43,130.64,47.97,45,0,15.19,clear sky,2020-11-02 02:51:09
106,teguise,ES,29.06,-13.56,68.0,82,0,6.93,clear sky,2020-11-02 02:51:09
107,mataura,NZ,-46.19,168.86,55.99,65,53,11.99,broken clouds,2020-11-02 02:51:09
108,hamilton,US,39.18,-84.53,37.99,44,40,16.11,scattered clouds,2020-11-02 02:48:42
109,tilichiki,RU,60.47,166.1,29.53,94,84,3.09,broken clouds,2020-11-02 02:51:10
110,coari,BR,-4.08,-63.14,76.57,79,67,2.66,broken clouds,2020-11-02 02:49:25
111,erzin,TR,36.96,36.2,66.99,70,65,4.0,broken clouds,2020-11-02 02:51:10
112,pacifica,US,37.61,-122.49,66.0,55,75,11.41,broken clouds,2020-11-02 02:51:10
113,ahuimanu,US,21.44,-157.84,80.6,61,75,5.82,light rain,2020-11-02 02:51:10
114,lafia,NG,8.48,8.52,74.12,68,91,1.95,overcast clouds,2020-11-02 02:51:10
115,mahebourg,MU,-20.41,57.7,64.4,93,40,4.7,scattered clouds,2020-11-02 02:47:34
116,ossora,RU,59.24,163.07,34.72,86,100,2.33,overcast clouds,2020-11-02 02:51:10
117,bwanga,TZ,-3.03,31.76,65.53,83,100,3.65,light rain,2020-11-02 02:51:10
118,port elizabeth,ZA,-33.92,25.57,62.6,93,40,10.29,scattered clouds,2020-11-02 02:51:11
119,amherstburg,CA,42.12,-83.05,35.6,55,90,24.16,overcast clouds,2020-11-02 02:51:11
120,souillac,MU,-20.52,57.52,64.4,93,40,4.7,scattered clouds,2020-11-02 02:51:11
121,laguna,US,38.42,-121.42,68.0,45,1,3.02,clear sky,2020-11-02 02:51:11
122,bonthe,SL,7.53,-12.51,77.92,87,2,6.8,moderate rain,2020-11-02 02:51:11
123,tuktoyaktuk,CA,69.45,-133.04,12.2,92,90,16.11,light snow,2020-11-02 02:51:11
124,hukuntsi,BW,-24.0,21.75,71.08,53,36,10.13,scattered clouds,2020-11-02 02:51:11
125,aripuana,BR,-9.17,-60.63,70.77,98,96,1.54,overcast clouds,2020-11-02 02:49:01
126,coquimbo,CL,-29.95,-71.34,55.4,87,40,2.24,scattered clouds,2020-11-02 02:51:11
127,wattegama,LK,6.8,81.48,82.38,71,100,1.07,overcast clouds,2020-11-02 02:51:12
128,maltahohe,NA,-24.83,16.98,64.54,26,41,8.37,scattered clouds,2020-11-02 02:51:12
129,carutapera,BR,-1.2,-46.02,77.88,84,25,5.66,scattered clouds,2020-11-02 02:51:12
130,suamico,US,44.63,-88.04,28.4,50,1,8.05,clear sky,2020-11-02 02:51:12
131,chuy,UY,-33.7,-53.46,52.21,86,5,3.53,clear sky,2020-11-02 02:51:12
132,iqaluit,CA,63.75,-68.51,15.8,78,90,4.7,light snow,2020-11-02 02:51:12
133,saint anthony,US,45.02,-93.22,32.0,58,1,6.93,clear sky,2020-11-02 02:51:12
134,georgetown,MY,5.41,100.34,82.4,83,20,6.93,few clouds,2020-11-02 02:48:42
135,carauari,BR,-4.88,-66.9,72.91,93,30,2.01,moderate rain,2020-11-02 02:51:12
136,sao joao da barra,BR,-21.64,-41.05,67.12,80,85,18.39,overcast clouds,2020-11-02 02:51:12
137,emerald,AU,-23.53,148.17,91.99,21,0,8.05,clear sky,2020-11-02 02:51:13
138,da nang,VN,16.07,108.22,80.6,74,40,3.36,scattered clouds,2020-11-02 02:51:13
139,codrington,AU,-38.27,141.97,74.89,62,4,10.76,clear sky,2020-11-02 02:46:46
